Average wind speed (m/s);Average power (kW);Input turbulence intensity (%);Input alpha
4.28998;316.12;27.65;-0.23
21.7817;4986.61;8.75;0.27
24.1303;4958.65;30.72;0.35
7.45165;1545.81;29.01;0.16
3.50134;144.977;28.3;0
4.29167;324.095;14.19;-0.4
8.85131;2787.46;39.46;0.19
19.6498;4940.49;38.59;-0.14
9.34656;3136.89;40.88;0.05
5.25447;519.919;17.74;0.02
17.9129;4986.03;7.71;-0.42
8.2545;2640.76;44.25;-0.49
21.5232;4983.38;22.49;0.26
16.732;4949.64;30.83;0.07
11.366;4367.11;35.29;-0.06
20.1322;4859.02;44.62;-0.42
17.4697;4985.04;19.15;-0.12
3.25704;142.572;38.04;0.13
22.684;4944.9;29.65;0.31
20.2444;4950.75;31.28;-0.38
11.3051;4023.85;40.38;0.34
8.01964;2368.96;35.09;-0.46
15.5389;4984.88;5.98;-0.13
22.3972;4970.34;30.01;-0.45
15.2314;4984.37;11.78;0.26
5.51321;706.225;27.52;-0.19
5.02183;438.315;12.92;0.1
4.80559;473.577;44.76;0.24
4.40902;296.886;14.22;-0.06
14.3851;4753.73;43.34;0.41
11.7244;4438.5;35.66;-0.47
11.0321;4870.16;5.76;-0.33
8.64052;2575.11;16.25;-0.3
18.1769;4847.67;38.83;-0.03
6.50353;1094.9;37.75;0.21
15.3588;4819.76;30.38;-0.08
18.6744;4943.83;24.58;0.32
16.8817;4923.34;32.55;0.35
11.4286;4909.56;10.51;-0.31
12.4441;4687.41;37.18;-0.36
23.6883;4985.99;13.91;0.1
6.31614;1094.58;26.34;-0.19
8.91223;2588.72;12.9;-0.04
13.0559;4868.22;18.64;0.38
3.97062;219.258;27.53;0.39
14.4893;4812.88;33.83;0.39
25.6437;4850.58;42.27;-0.33
14.0776;4908.32;26.9;-0.37
3.44746;108.861;12.91;0.11
21.277;4953.08;35.58;-0.16
7.56114;1684.9;28.49;0.29
11.5141;4250.82;39.97;0.06
16.4107;4980.06;23.59;0
14.1391;4942.77;25.14;0.02
20.3679;4986.95;12.62;-0.26
23.9136;4986.96;6.94;-0.18
4.79886;578.025;43.48;-0.19
14.6077;4985.47;16.2;0.12
20.0651;4985.85;19.9;-0.24
25.4493;4940.14;35.11;-0.49
8.82258;2631.44;35.32;0.18
11.1006;4079.18;35.02;0.01
20.7805;4937.76;30.18;-0.14
13.4983;4924.04;29.2;-0.31
11.9719;4683.47;33.03;-0.24
8.86468;2416.29;13.05;0.35
18.7005;4978.91;22.8;-0.29
5.30803;642.657;41.23;0.45
9.67948;3353.32;35.7;-0.12
20.8424;4816.73;37.94;0.46
9.8771;3853.09;24.68;-0.33
3.41758;138.841;32.8;0.39
18.8779;4613.81;42.47;0.22
11.3179;4801.12;6.19;0.46
22.333;4875.94;38.82;0.44
21.9992;4842.92;43.49;0.2
18.0216;4935.99;38.49;-0.04
5.71263;711.24;22.29;0.01
3.78289;213.928;29.55;-0.26
18.563;4820.47;33.73;-0.04
12.5939;4672.06;34.54;-0.46
11.6314;4398.4;44.29;-0.44
22.7098;4986.59;9.34;-0.49
20.3423;4986.4;8.79;0.5
15.9797;4962.51;25.79;0.2
8.86535;2990.89;33.74;-0.38
17.3769;4985.1;10.34;0.33
6.312;1167.7;42.85;-0.28
6.16239;922.672;11.6;-0.28
3.27841;95.0153;16.64;0.37
3.1178;79.9697;19.48;0.02
18.1004;4964.86;32.72;0.06
4.09371;239.248;16.73;0.48
7.76606;1635.32;10.01;0.43
20.7164;4962.76;28.94;0.12
13.2733;4889.12;27.91;-0.32
24.8712;4917.05;39.34;0.35
4.37101;355.917;18.96;-0.43
9.98668;3468.96;23.61;0.15
3.68261;186.671;35.07;0.4
10.3176;3800.01;34.39;-0.31
9.65406;3228.19;40.04;0.42
12.0313;4320.09;36.35;-0.25
17.8552;4984.93;21.38;0.38
6.84168;1165.67;16.98;0.28
11.1757;3935.19;39.97;-0.02
12.1739;4756.32;20.73;0.15
5.65021;610.524;5.16;0.17
8.2635;2149.88;31.84;0
3.06688;95.3375;41.94;0.13
18.6662;4986.26;8.8;0.28
5.02325;485.521;23.9;0.42
10.8775;4027;21.95;0.32
12.3859;4969.4;7.08;0.41
12.3952;4860.69;19.25;-0.42
12.5605;4884.75;19.7;0.47
6.36238;1099.5;43.81;0.14
13.3846;4956.76;14.59;-0.16
24.833;4986.99;10.42;0.45
15.1964;4982.78;14.05;0.38
7.15521;1396.69;27.18;0.39
9.56824;3625.42;10.06;-0.42
20.3877;4931.17;32.78;0.47
18.7084;4894.44;44.94;0.36
6.01189;744.756;6.53;0.1
4.59672;334.565;8.82;-0.09
9.64469;3261.36;44.4;0.42
18.8734;4887.19;37.77;-0.32
12.861;4727.82;30.86;-0.41
14.2324;4806.25;24.22;-0.06
5.33764;641.05;44.12;0.11
23.451;4893.61;36.73;0.21
12.8514;4840.24;23.2;0.29
20.5339;4858.91;40.14;-0.48
10.23;3822.82;33.16;-0.31
18.1966;4937.16;36.7;-0.04
21.732;4951.54;30.08;-0.34
17.404;4985.83;6.89;-0.42
22.9196;4985.5;18.05;-0.46
15.1385;4731;30.15;0.45
17.4887;4985.95;5.61;-0.33
12.0978;4959.36;9.29;-0.01
17.3177;4984.85;25.28;-0.11
18.6915;4986.72;9.38;-0.44
10.4093;3991.63;42.85;-0.39
