Average wind speed (m/s);Average power (kW);Input turbulence intensity (%);Input alpha
25.057;4976.48;24.4;-0.23
9.22049;2814.27;22.42;0.07
6.59873;1216.36;15.8;-0.38
11.935;4953.2;9.88;-0.08
13.368;4965.18;17.02;0.43
4.99938;464.726;23.29;0.43
11.5248;4271.69;33.02;0.06
21.9781;4965.36;31.9;-0.22
8.48843;2411.22;16.85;-0.24
4.29302;324.106;38.85;-0.29
18.7654;4986.32;8.5;0.04
15.6511;4754.36;30.26;-0.01
12.1258;4477.53;33.8;0.09
12.9197;4609.94;25.77;-0.23
22.0069;4888.53;40.84;-0.3
14.5951;4984.13;14.65;0.44
22.6765;4974.34;24.19;-0.44
16.0061;4985.7;8.5;-0.21
6.96091;1580.23;40.26;0
4.4152;383.486;44.5;-0.05
3.94161;260.717;39.8;-0.27
23.0326;4986.03;15.41;-0.03
5.14657;555.917;36.1;0.19
12.8447;4654.83;27.82;0.24
7.3809;1506.76;24.95;0.22
3.16586;99.7523;36.34;0.19
9.13486;2949.93;42.4;0.35
23.0648;4964.72;31.37;0.47
18.4133;4985.44;16.08;0.37
17.6175;4986.22;11.74;-0.47
15.1301;4939.38;26.59;-0.03
16.4618;4969.95;27.67;0.3
15.8468;4984.42;16.12;-0.36
24.3134;4987.25;11.44;-0.17
21.862;4985.56;18.69;-0.27
20.2336;4986.18;20.48;-0.13
5.62788;635.129;13.64;0.26
17.7127;4986.95;9.05;-0.35
12.3863;4845.92;16.1;0.4
21.8316;4986.77;13.91;-0.48
5.57477;864.054;39.46;-0.44
17.958;4984.94;16.57;-0.39
8.21215;2546.52;42.27;-0.27
13.3437;4908.71;22.08;0.15
11.0537;4873.23;10.2;-0.42
11.4956;4703.04;26.69;-0.22
6.63275;1304.34;41.17;-0.11
19.2679;4984.95;16.06;-0.22
20.8309;4986.28;7.78;0.36
4.75074;480.223;40.53;-0.13
11.1775;4580.63;12.89;-0.02
18.0438;4981.8;24.12;0.1
23.9283;4853.63;41.64;-0.05
9.63971;3020.19;42.4;0.18
9.58228;3286.53;35.98;0.25
3.44214;122.3;25.12;0.3
22.7576;4985.95;16.82;-0.33
6.96393;1586.18;33.46;-0.43
19.82;4986.36;14.43;-0.34
7.30495;1349.09;6.78;0.36
20.0322;4984.18;20.86;-0.09
15.742;4984.57;6.35;0.35
8.09245;1863.38;6.77;-0.04
15.3734;4698.39;41.9;0.29
17.5675;4985.66;10.98;-0.25
6.99343;1243.74;19.65;0.42
19.3563;4970.64;26.89;-0.14
9.27855;2980.03;29.34;0.24
20.8913;4922.98;39.77;-0.41
13.4632;4973.48;26.57;-0.32
19.7572;4986.53;9.65;0.46
21.1362;4987.01;10.66;-0.1
23.9695;4985.05;17.81;-0.02
10.3659;3872.76;32.22;0.21
22.0995;4978.7;23.07;0.11
6.20759;838.607;11.72;0.14
9.63664;3741.76;24.23;-0.48
19.9837;4986.06;16.76;-0.29
14.4775;4925.19;28.49;-0.25
11.7314;4878.05;9.5;-0.09
5.548;701.223;16.06;-0.29
6.9931;1470.21;18.76;-0.38
11.4944;4865.76;20.3;-0.45
16.5306;4829.69;36.39;-0.33
21.7065;4900.19;41.99;0.01
13.9456;4981.12;17.32;-0.1
5.32088;525.866;10.35;0.36
10.1196;3522.07;40.91;-0.09
2.99657;65.8167;26.3;0.27
16.9052;4984.17;8.95;0.28
6.47973;1102.43;24.83;-0.22
15.0817;4984.49;7.68;0.42
23.6643;4969.74;33.74;-0.43
15.4712;4983.83;15.73;-0.38
22.2419;4954.6;30.88;-0.08
12.1173;4509.75;34.29;-0.14
8.9918;3057.84;16.17;-0.42
25.1316;4975.16;19.94;0.07
16.9242;4931.01;31.1;0.06
11.1464;3654.61;42.07;0.15
10.0108;3476.43;30.29;0.43
25.0303;4789.31;42.89;0.08
12.0586;4554.68;23.09;0.04
8.17797;2160.55;35.2;0.4
19.3901;4934.85;37;0.44
23.3173;4978.12;24.64;-0.21
3.94326;261.484;21.63;-0.43
11.8317;4982.47;6.75;-0.42
17.4446;4982.26;23.29;-0.09
22.929;4926.65;35.19;0.31
10.0858;4132.01;5.9;-0.38
13.5675;4440.34;42.16;0.15
4.11169;307.256;38.97;0.35
14.9255;4951.96;25.14;-0.05
15.6458;4981.97;22.91;-0.11
4.66141;547.554;43.27;-0.45
10.9136;3689.61;39.69;-0.17
14.5197;4751.9;43.66;-0.21
22.951;4987.05;7.27;0.02
11.6095;4533.96;25.38;0.14
13.0978;4979.94;9.11;-0.02
9.28986;2923.68;30.17;0.31
11.98;4384.19;34.62;-0.3
15.9408;4861.42;30.11;0.28
18.2517;4986.4;5.69;0.2
22.523;4914.03;35.09;-0.29
15.2768;4961.81;22.47;-0.1
4.80006;419.144;22.97;0.29
14.6037;4984.27;15.04;0.21
9.01911;3020.29;37.17;-0.26
9.40025;2946.48;18.35;0.4
16.9012;4976.22;24.67;-0.48
6.18985;815.785;7;0.29
12.7111;4520.28;40.76;-0.28
5.12184;448.897;5.8;0.07
19.5892;4971.51;23.59;0.37
20.8331;4986.92;10.52;0.21
23.9254;4942.04;32.42;0.21
7.56189;1890.32;37.3;-0.28
10.8569;4004.7;35.48;0.39
4.21582;298.423;22.67;-0.23
7.65407;2033.37;42.02;-0.31
23.6966;4986.37;15.57;-0.21
18.5591;4882.74;36.28;0.31
22.8395;4986.48;15.62;-0.17
23.6791;4986.69;9.18;0.25
19.3657;4940.56;35.36;-0.19
23.8795;4987.02;5.9;0.22
19.6119;4961.18;31.42;-0.08
11.7573;4652.88;17.22;-0.09
14.8009;4794.68;39.49;0.12
19.8413;4977.75;21.48;0.01
22.7021;4986.94;6.21;-0.21
19.2359;4977.33;31.08;-0.35
23.3781;4736.73;44.47;0.48
3.1225;100.356;35.46;0.22
24.8095;4958.43;30.59;-0.14
22.8903;4953.11;29.05;-0.41
19.7021;4916.61;36.48;0.1
22.2458;4926.07;36.91;0.16
5.76428;845.694;35.23;-0.21
9.67354;3132.68;37.66;-0.06
21.9261;4930.45;35.35;-0.38
16.5878;4986.51;15.6;0.2
14.5061;4973.41;25.93;-0.17
21.4675;4946.08;30.78;0.21
15.4027;4918.89;28.94;0.28
15.4709;4978.95;23.39;0.12
11.9388;4979.14;6.24;0.41
19.2214;4986.17;13.18;-0.04
9.36533;3252.73;20.62;-0.22
23.0446;4811.99;42.35;0.28
5.29234;642.061;40.11;0.01
6.90222;1146.63;13.61;0.34
5.51466;735.431;40.8;0.06
5.84371;774.876;28.94;0.29
13.0479;4982.64;5.53;-0.23
13.6605;4980.38;11.59;0.27
24.72;4930.42;34.97;-0.1
23.1932;4964.97;30.04;-0.07
22.4029;4968.67;19.68;0.12
22.93;4906.49;35.33;-0.45
9.13351;2943.72;34.92;0.35
24.1711;4795.15;36.81;0.06
19.0869;4839.83;40.2;0.31
10.7488;4119.04;27.89;-0.08
14.3761;4975.83;21.52;0.02
14.751;4873.69;35.3;-0.22
7.3583;1708.23;25.56;-0.3
18.0487;4922.79;36.09;-0.08
20.2493;4986.95;15.85;0.24
11.534;4340.04;34.23;0.05
14.292;4976.78;15.61;0.21
11.59;4527.04;23.42;-0.17
13.8118;4983.46;12.12;0.45
15.0798;4985.39;10.77;-0.13
17.6908;4986.58;10.86;0.32
5.72957;775.692;38.85;0.31
9.98423;3398.08;5.65;0.41
15.3699;4840.59;36.44;-0.02
19.5432;4956.92;29.98;-0.23
16.6769;4949.15;27.72;0.46
22.867;4986.01;17.82;-0.05
17.4889;4885.98;34.24;0.41
12.2472;4847.62;15.63;-0.1
21.5536;4958.65;31.22;-0.35
20.3583;4986.68;6.09;-0.02
24.1765;4940.76;37.27;-0.03
25.1816;4861.47;41.05;0.29
22.9292;4981.62;16.96;0.36
9.22135;2680.52;6.65;0.39
14.9932;4983.86;10.77;0.46
20.9769;4942.58;34.95;0.21
14.1706;4972.7;18.98;0.1
14.6049;4985.76;16.92;-0.25
7.30494;1467.6;27.09;-0.06
24.0178;4986.98;10.69;0.33
16.9328;4985.75;23.54;-0.43
17.5961;4980.57;15.83;0.39
20.4293;4986.66;14.77;-0.33
25.4967;4757.87;44.76;0.28
7.85561;2245.55;37.09;0.01
15.7909;4973.37;29.34;-0.38
21.1603;4929.51;31.89;0.31
11.1696;4341;35.48;-0.28
20.6421;4897.17;38.35;-0.1
5.97817;774.229;13.22;0.47
10.177;3617.3;40.74;0.4
6.61477;1171.17;33.51;0.29
20.0284;4984.6;22.62;-0.47
17.0192;4971.16;24.89;0.25
21.074;4986.78;5.85;0.33
4.48863;357.769;37.01;0.03
5.39439;584.679;24.88;0.14
5.27874;595.339;27.05;-0.06
16.0145;4624.01;43.73;0.42
9.43283;3367.75;32.17;-0.28
14.9156;4785.71;43.77;-0.3
4.78025;444.269;27.28;0.25
14.5506;4845.73;30.24;0.06
15.0304;4836.61;25.71;0.26
6.56381;1218.74;16.9;-0.44
12.8154;4734.43;31.36;0.45
11.7119;4199.74;44.33;-0.47
5.09235;558.499;27.44;-0.28
18.942;4877.13;40.18;0.27
9.87823;3566.55;29.65;-0.24
23.9992;4912.32;31.8;0.11
11.556;4870.13;16.67;-0.45
7.04577;1377.05;29.41;0.02
13.16;4541.52;35.15;-0.11
7.20199;1377.14;11.42;-0.14
10.8518;4133.32;39.55;-0.25
5.78789;767.576;33.55;0.09
14.4496;4984.65;5.27;-0.49
24.6564;4986.97;10.04;-0.04
14.7023;4983.93;6.4;-0.3
6.67149;1067.54;16.96;0.24
17.4704;4986.93;13.59;-0.04
12.5355;4143.22;35.54;0.22
15.5395;4769.11;37.11;0.33
24.7634;4847.06;43.48;-0.45
15.8634;4780.61;43.35;-0.19
20.2559;4985.88;20.28;-0.1
17.8814;4984.05;28.64;0.33
6.20648;1079.29;44.04;-0.07
11.632;4413.14;26.2;0.03
20.5578;4986.83;5.76;0.38
11.7391;4361.93;41.03;-0.33
6.84228;1755.21;44.12;-0.48
15.0648;4716.74;39.77;-0.45
24.4662;4983.49;18.63;0.03
20.0815;4966.05;31.08;-0.41
13.5622;4894.29;30.26;-0.34
5.34331;573.657;19.93;0.13
18.4914;4763.49;44.82;0.45
4.92038;518.323;38.87;-0.12
19.2255;4982.56;26.69;-0.17
22.5674;4971.46;24.9;0.35
19.069;4872.78;38.53;-0.03
22.8485;4986.97;10.69;-0.22
17.1567;4979.18;26.08;-0.39
8.38024;2319.86;33;0.12
21.4098;4962.52;34.66;0.07
4.07397;278.758;7.88;-0.47
8.41114;2234.85;9.49;-0.21
22.0648;4852.88;40.94;0.32
10.8098;3909.73;35.26;0.44
23.9948;4932.1;32.1;-0.37
24.8763;4985.31;16.83;0.48
24.5118;4972.26;23.08;0.21
12.9061;4981.48;10.01;-0.01
6.93664;1207.35;19.02;0.04
22.0755;4951.78;34.3;-0.17
13.8333;4731.59;33.06;0.02
12.6327;4464.51;36.11;0.34
19.8014;4986.47;12.99;0.01
24.5597;4950.64;29.24;0
13.6382;4969.93;15.59;0.3
7.32224;1544.53;31.07;0.24
23.0104;4947.93;33.05;0.18
14.2507;4846.08;34.57;0.25
21.3563;4945.92;27.84;0.15
3.15273;126.604;23.81;-0.43
9.61142;3283.74;23.69;-0.07
5.26825;526.297;10.08;-0.1
16.0512;4982.84;18.71;0.21
5.97869;916.252;6.84;-0.45
7.21656;1342.7;12.92;0.02
13.3774;4213.97;42.55;-0.01
3.21773;99.6819;17.56;-0.31
23.3425;4975.51;25.65;0.49
7.84987;1800;22.01;0.18
22.4137;4909.76;44.69;-0.18
7.31424;1399.37;20.13;0.3
3.16103;89.1587;21.96;-0.2
11.3875;4573.93;12.97;0.1
4.26273;255.931;6.75;0.46
8.81013;2800.63;12.75;-0.37
16.7779;4985.96;9.14;-0.15
16.0559;4923.77;37.87;-0.29
11.0317;4031.89;29.83;-0.06
19.028;4986.16;20.69;-0.35
3.31306;88.7565;5.13;0.13
19.9135;4973.11;30.66;-0.42
8.74158;2671.34;37.73;-0.09
7.66976;1550.38;9.14;0.31
5.51133;657.039;26.28;-0.01
13.6368;4537.52;38.67;0.14
18.147;4986.39;21.13;0.38
14.4266;4775.57;37.69;-0.5
23.5328;4986.98;5.92;-0.08
6.12589;883.824;18.29;-0.15
20.7242;4946.16;35.39;-0.2
13.3576;4727.94;28.86;-0.08
8.69732;2767.19;6.61;-0.44
13.3618;4913.02;22.67;-0.28
10.7593;3853.09;44.63;0.01
21.5284;4953.18;26.52;-0.26
21.9089;4892.01;37.07;0.29
16.3325;4986.14;21.86;0.04
12.43;4931.78;14.41;-0.22
20.3695;4987.04;15.52;-0.08
11.8756;4667.74;18.01;-0.12
18.8304;4807.9;43.31;-0.25
5.76686;1034.24;41.17;-0.44
23.4752;4935.18;30.23;0.23
18.1736;4986;17.81;-0.26
19.6887;4965.76;30.24;0.16
8.61295;2373.7;23.17;0.24
15.0283;4946.94;27.46;-0.27
13.7081;4872.04;35.54;-0.36
14.9773;4985.64;16.1;-0.44
15.3374;4985.03;6.7;-0.42
8.91635;2438.17;7.64;0.45
5.49878;621.573;8.8;-0.19
24.9479;4984.33;20.08;0.42
18.5228;4759.46;44.43;0.14
5.01353;459.852;20.53;0.43
20.9031;4971.14;25.03;-0.01
4.0619;223.464;19.34;0.22
23.2648;4986.6;6.02;-0.44
5.06747;463.814;11.55;-0.13
20.1782;4986.6;8.37;0.18
3.40285;144.731;32.25;0.09
19.5662;4986.3;14.29;-0.41
5.99859;950.057;43.26;0.46
22.7315;4938.21;37.32;0.18
11.2607;4732.12;23.94;-0.37
17.4013;4985.71;12.01;0.3
8.60938;2175.19;6.52;0.15
25.4559;4939.9;40.36;0.01
9.98186;3426.96;33.21;0.01
24.1286;4769.18;44.69;0.27
10.212;3789.38;6.03;-0.08
21.0904;4986.78;13.79;0.49
12.6564;4965.45;15.51;0.4
24.2611;4987.28;12.67;-0.14
10.206;3640.26;39.28;0.46
12.5058;4981;7;0.11
24.6293;4881.84;44.57;0.1
6.40357;1263.48;42.24;-0.4
13.9714;4831.47;27.19;0.36
3.71989;175.277;32.27;0.36
5.15081;723.5;43.46;-0.27
25.1822;4862.75;41.68;0.45
17.5291;4986.19;17.42;-0.06
14.8717;4981.88;16.81;-0.44
10.3392;4183.07;12.17;-0.25
23.6392;4987.06;5.69;-0.15
6.84614;1285.68;14.44;-0.31
9.28629;2947.67;29.13;0.09
20.5279;4953.79;27.38;-0.45
8.80065;2385.83;12.47;0.37
19.1921;4986.94;9.32;-0.05
17.4365;4803.06;38.7;-0.1
15.458;4975.33;25.31;-0.3
24.217;4975.78;25.69;-0.09
14.0144;4972.18;18.28;0.36
18.6762;4986.99;13.65;-0.18
19.6532;4962.31;27.52;0.45
9.12079;2696.01;25.29;0.24
8.72556;2480.7;11.95;-0.18
17.3434;4867.49;39.3;0.06
4.43142;331.304;23.76;0.04
8.98475;2831.78;28;0.48
10.5185;3907.69;30.34;0.26
7.90531;1722.6;10.83;0.45
15.5573;4822.46;34.53;0.29
8.78413;2924.41;6.34;-0.49
12.5429;4514.32;27.92;0.29
15.7134;4939.64;29.57;-0.45
5.72094;669.868;10.99;0.47
3.51074;164.523;40.73;0.33
10.0259;3371.03;24.41;0.1
21.8619;4954.74;28.96;-0.03
20.1765;4930.63;33.69;-0.37
14.0491;4983.32;10.21;-0.01
22.8727;4973.4;23.35;0.11
18.4239;4985.73;25.93;-0.11
17.763;4986.09;6.53;-0.32
17.7801;4985.46;17.98;-0.36
11.3875;4218.83;25.89;0.4
5.97999;787.338;15.15;-0.13
20.9205;4985.46;18.71;-0.22
19.1656;4835.46;42.24;-0.22
9.02527;2994.96;40.58;-0.23
16.529;4971.54;19.47;-0.15
7.23434;1523.08;30.22;-0.08
10.4424;3903.54;10.19;0.14
22.233;4941.96;34.11;0.04
12.3222;4938.9;10.12;-0.13
25.5094;4959.71;33.96;-0.45
22.271;4965.48;31.4;0.05
22.8244;4986.85;8.27;0.33
23.6354;4987.09;12.47;0.21
23.7121;4949.69;28.96;0.07
4.40611;332.731;31.4;0.18
24.959;4963.19;26.04;0.15
18.2709;4975.68;25.8;-0.38
3.81639;245.109;42.96;-0.28
18.4641;4986.14;10.6;-0.07
7.7893;1783.37;28.65;-0.04
24.3138;4974.17;22.59;-0.11
7.88496;1820.16;22.08;0.41
24.2366;4800.87;34.72;0.33
18.587;4986.67;18.78;0.14
6.00784;878.312;32.13;-0.09
22.0668;4986.42;11.52;-0.37
6.86132;1118.09;9.37;0.25
10.9222;4301.35;10.66;0.42
23.169;4986.59;15.31;-0.46
17.3542;4984.86;16.22;0.36
5.32894;605.819;29.24;0.04
23.0948;4902.21;39.76;0.41
18.287;4982.14;19.39;0.24
9.14895;2780.88;20.08;0.06
18.4522;4876.21;31.15;0.28
9.44656;3109.72;9.83;-0.15
13.3237;4977.67;17.61;-0.12
15.6309;4950.06;27.6;0.26
17.582;4985.69;8.9;-0.13
14.452;4843.51;38.57;-0.24
5.99344;829.396;19.68;-0.16
11.4618;4331.86;30.76;0.3
7.91891;1790.31;19.89;0.11
21.4938;4986.58;9.21;0.39
21.1535;4974;29.07;0.16
9.22309;2838.01;29.88;0.27
9.52577;3512.83;6.56;-0.39
20.7845;4831.71;33.99;0.32
7.22965;1833.54;29.41;-0.39
24.3263;4921.3;35.56;0.41
23.2218;4980.1;21.1;-0.12
18.5326;4986.26;8.54;-0.42
5.84897;742.522;16.18;0.48
14.3901;4935.52;20.44;-0.22
15.8832;4983.3;12.72;-0.29
15.7769;4986.18;17.59;-0.18
9.86049;3703.73;29.7;-0.43
14.5984;4816.96;35.47;0.05
24.3556;4977.33;24.75;-0.33
17.1627;4757.44;38.34;0.17
7.84423;2145.21;13.43;-0.5
13.3739;4573.27;42.21;-0.17
4.94959;565.962;28.84;-0.43
9.13893;2685.73;9.94;0.01
20.5679;4868;34.32;-0.28
7.03744;1335.47;23.39;-0.07
14.1194;4917.22;13.76;-0.19
6.8499;1185.61;23.3;0.21
20.8843;4968.56;27.13;-0.2
13.9478;4789.6;32.53;-0.46
14.8857;4985.18;15.74;-0.3
23.18;4983.15;18.56;0.1
21.25;4986.86;15.26;-0.05
16.6308;4981.3;19.95;-0.21
21.3344;4955.37;27.37;0.41
14.779;4747.46;31.86;0
15.5384;4773.32;38.41;-0.06
14.5207;4984.22;7.69;0.09
3.66209;180.452;25.08;-0.26
5.59452;659.327;19.04;0.47
21.4954;4961.35;32.64;0.26
25.8387;4839.29;42.52;-0.25
8.13925;1899.29;5.82;-0.03
11.2039;4257.24;24.99;0.01
5.84019;914.114;22.77;-0.46
7.39939;1618.21;21.58;-0.23
17.9616;4978.44;21.18;0.41
10.2639;3786.32;8.36;0.01
17.8173;4984.95;11;0.24
12.4805;4420.21;39.53;0.33
4.82686;384.239;16.58;0.12
14.5333;4595.42;41.19;0.19
18.8661;4986.41;6.08;-0.11
15.9201;4814.81;44.87;-0.44
21.0633;4986.52;12.5;-0.23
16.6526;4948.94;31.71;-0.27
14.5229;4979.32;17.09;0.49
11.8093;3994.21;40.5;0.15
17.7842;4986.27;15.7;0.02
13.6156;4984.03;7.91;-0.19
9.3063;3421.12;14.49;-0.41
21.3019;4902.69;38.38;0.23
8.65561;2353.07;25.79;0.21
10.4456;3675.97;30.64;0.31
13.703;4675.08;33.16;0.32
21.7994;4986.16;17.92;-0.09
12.0374;4359.81;36.3;-0.24
10.6395;4053.19;36.55;-0.19
8.56105;2414.08;29.04;0.37
13.846;4826.81;22.54;0.36
9.92949;3422.41;28.21;0.49
18.0824;4887.53;36.65;-0.47
15.9136;4984.93;9.88;0.17
13.6853;4983.39;5.26;0.01
22.3747;4986.68;16.26;0.1
3.39747;108.177;18.35;-0.1
10.8031;4285.6;26.35;-0.24
5.59514;636.154;15.03;-0.09
14.7173;4966.77;17.45;0.02
15.9514;4688.59;40.18;0.22
6.89123;1170.77;11.44;-0.03
4.36863;286.759;23.14;0.17
8.74393;2433.95;21.5;0.32
15.3724;4985.42;15.29;-0.4
3.22122;139.924;39.04;-0.35
17.8317;4814.6;35.68;-0.18
22.7997;4826.9;41.12;0.05
9.58127;3490.55;7.59;-0.34
13.1713;4519.4;33.2;0.41
7.22576;1334.95;14.06;0.28
8.96996;2474.3;5.88;0.06
22.8946;4976.18;29.4;-0.26
9.44783;3111.52;14.68;-0.13
18.9646;4986.75;15.65;0.24
19.9017;4972.99;27.28;0.06
4.66458;421.821;23.12;-0.19
20.177;4986.63;12.06;0.14
18.7879;4986.55;10.91;0.05
16.5749;4984.73;10.64;0.27
12.9341;4929.99;12.15;0.21
14.4841;4976.4;18.07;-0.06
15.9694;4925.84;34.11;0.13
3.29372;85.8054;6.56;0.06
6.58462;1242.28;40.89;0.07
16.5018;4787.91;44.1;-0.2
18.3916;4899.25;33.7;0.39
10.8715;4220.5;40.39;-0.07
19.1647;4871.95;44.77;0.16
8.24751;2424.6;28.51;-0.29
23.1666;4982.98;16.33;0.04
3.9147;199.119;15.26;-0.15
13.3533;4875.2;24.46;0.15
10.8731;4630.75;17.07;-0.26
3.14866;101.977;34.17;-0.07
12.8692;4555.98;26.51;0.19
21.3138;4938.77;38.64;-0.41
23.0468;4986.74;9.69;-0.23
11.347;4760.98;9.06;0.48
10.9846;4127.86;24.89;0.04
15.0093;4899.97;39.38;-0.37
9.2818;2912.54;25.15;0.22
21.0426;4986.58;8.7;0.3
12.7338;4603.42;31.65;-0.37
5.01811;450.84;18.92;0.29
10.7077;4315.91;26.53;-0.36
13.0636;4449.16;38.12;0.06
23.7933;4987.1;5.38;0.07
13.2405;4695;40.08;-0.48
15.4882;4985.44;12.92;-0.42
7.31616;1636.71;22.1;-0.35
24.8409;4985.17;18.05;0.47
11.4903;4020.66;41.33;0.41
10.991;3912.02;37.6;0.21
16.4001;4896.28;41.28;0.07
16.475;4957.07;27.65;-0.19
5.4636;571.036;10.03;0.38
20.0179;4968.64;25.78;0.48
23.1824;4975.32;23.06;-0.06
6.10964;1058.77;39.12;-0.39
17.6218;4984.93;21.1;0.3
14.9892;4962.47;27.42;-0.46
16.3245;4867.07;35.01;-0.04
24.2945;4978.22;22.68;0.32
6.21225;838.544;10.89;0.24
24.9148;4957.68;23.54;0.18
15.158;4903.36;36.44;-0.28
21.6533;4855.41;42.07;-0.3
19.6767;4889.5;32.92;0.44
19.3213;4986.49;13.34;0.15
18.1015;4985.94;13.94;0.22
22.7824;4889.94;37.3;0.3
19.6234;4858.66;38.14;-0.07
12.4508;4622.22;38.55;-0.06
4.09186;305.838;27.3;-0.37
8.57153;2312.98;16.82;0.1
13.9762;4983.38;6.6;0.41
13.853;4981.1;13.85;0.04
8.42846;2403.12;10.84;-0.35
5.83621;772.095;21.15;0.16
7.4951;1642.92;30.86;0.39
25.0866;4965.53;23.55;-0.37
18.7841;4974.34;24.32;0.17
20.9425;4986.67;8.17;-0.29
25.2434;4722.86;41.09;-0.22
12.2795;4553.81;30.99;0.46
18.62;4986.19;8.34;-0.12
10.325;3784.25;40.66;-0.01
3.93888;228.193;28.02;-0.13
8.94695;2857.89;8.14;-0.36
15.6975;4984.33;9.81;0.22
4.90401;507.788;39.28;-0.19
8.93583;2875.17;34.79;-0.17
18.8442;4789.88;41.19;0.46
9.00621;2649.58;18.81;0.23
6.36251;1105.62;42.86;0.11
15.485;4984.82;7.08;-0.17
3.61819;203.612;36.78;-0.28
13.6256;4962.79;15.4;0.3
8.31811;2336.79;39.59;-0.04
23.1451;4834.33;42.77;-0.42
5.82631;763.587;31.12;0.31
19.7541;4959.21;32.98;0.1
5.71027;712.76;22.84;0.11
15.6539;4975.72;26.45;-0.01
8.16806;2064.99;17.17;-0.15
20.0234;4986.19;19.57;0.1
5.31585;773.07;35.79;-0.44
3.30164;161.186;41.96;-0.33
12.1285;4624.87;32.83;0.22
11.5299;4563.61;23.65;-0.3
21.3906;4908.94;39.6;0.36
16.0961;4984.5;12.46;-0.31
8.43377;2212.39;22.08;0.14
8.41386;2595.29;23.45;-0.35
9.0765;2795.73;37.37;0.09
6.65452;1404.38;43.85;-0.08
9.29922;3149.7;31.11;-0.16
8.21669;1898.22;5.66;0.41
24.8001;4903.19;38.11;-0.23
24.0551;4962.84;26.84;0.12
12.0398;4726.74;22.2;0.02
3.60534;175.348;13.5;-0.4
15.3251;4986.78;21.4;-0.35
25.3813;4888.67;37.45;-0.32
12.1385;4903.25;11.69;0.16
8.83995;2679.32;40.52;0.39
14.0387;4918.55;21.4;0.02
5.96011;930.417;37.79;-0.16
5.79315;915.531;42.06;-0.2
20.3853;4984.26;14.9;-0.18
15.3081;4876.93;27.33;0
16.9784;4584.79;42.13;0.33
17.7703;4870.83;41.17;0.19
16.0942;4932.89;31.16;0.08
23.3996;4987.01;5.21;0.14
4.13158;219.882;9.24;0.12
23.5483;4975.06;26.45;0.27
12.9033;4336.53;31.06;0.35
14.5613;4980.47;17.04;0.41
24.1787;4986.7;7.18;-0.4
24.8321;4952.81;33.72;0.21
20.0186;4966.43;32.54;-0.43
14.1963;4574.92;38.04;0.43
14.4597;4702.86;30.16;0.25
21.17;4984.28;13.39;0
7.98113;2120.79;39.59;0.15
21.6847;4909.26;37.53;0.16
18.2801;4890.27;44.42;-0.1
12.7664;4537.94;35.95;-0.06
23.8721;4986.97;10.05;-0.05
15.9282;4976.28;28.45;-0.23
19.2369;4970.8;31.58;-0.22
11.824;4692.86;23.01;0.14
14.5693;4967.32;19.44;0.5
14.8883;4723.61;41.83;0.22
17.7201;4880.84;32.45;0.5
6.33961;1030.69;39.53;0.12
4.22445;308.228;34.76;-0.16
12.9425;4940.81;9.43;0.49
22.4259;4985.94;15.73;-0.35
9.08921;2745;32.49;0.4
16.9792;4874.25;38.44;-0.07
4.56504;397.123;26.35;-0.3
10.7801;4023.43;26.32;0.17
6.54838;1196.26;33.35;0.13
10.5028;3953;8.63;0.14
15.1158;4967.36;17.2;0.25
10.787;4002.14;33.88;-0.21
15.6006;4910.5;31.49;0.16
4.61658;397.215;29.79;0.12
11.9165;4238.92;37.5;-0.16
21.9887;4941.53;26.94;0.4
24.7322;4986.72;10.48;0.49
23.0642;4833.62;43.24;-0.25
22.4104;4861.41;41.4;-0.32
7.40996;1729.06;40.23;0.33
15.2396;4985.86;19.31;-0.07
25.1459;4932.8;34.18;-0.28
6.00416;1007.97;39.03;-0.24
9.59715;3297.95;19.11;-0.06
23.3837;4881.14;37.8;-0.3
20.4704;4987.05;14.92;0.33
5.9317;880.988;35.05;0.12
10.0364;3644.74;41.75;-0.4
6.73362;1040.57;5.86;0.23
5.54187;624.692;21.57;0.21
8.91786;2610.14;15.55;-0.06
18.0639;4985.41;23.09;0.27
3.36441;100.767;13.41;-0.13
6.70092;1222.74;29.46;-0.13
3.17567;103.284;26.66;-0.21
9.54738;3254.83;39.96;0.25
24.5636;4987.13;7.77;0.01
4.3517;301.752;25.25;0.36
24.9371;4819.69;43.23;-0.48
15.9757;4831.7;28.91;-0.16
24.5997;4986.84;14.85;-0.09
17.7651;4875.28;44.16;-0.04
24.4912;4987.04;7.71;0.34
9.62359;3135.58;41.31;0.32
5.00535;491.431;28.65;0.31
14.7474;4819.44;29.32;0.45
19.0503;4985.7;10.82;0.41
22.1744;4824.67;40.98;0.2
19.2399;4986.01;14.24;-0.24
6.84866;1153.86;16.94;0.27
5.73611;833.402;16.68;-0.39
6.46401;1039.72;26.88;0.44
20.3818;4984.83;13.98;0.32
6.12955;841.592;13.19;-0.1
17.2545;4985.18;6.23;-0.49
23.0563;4867.76;36.41;-0.07
14.7803;4984.25;9.99;-0.26
22.6857;4942.71;29.62;-0.25
7.22821;1940.8;41.99;-0.28
24.2158;4986.89;14.75;-0.03
13.9745;4984.34;7;-0.01
22.2603;4986.45;14.4;-0.08
23.3446;4986.7;10.89;-0.31
3.24168;85.4937;11.14;0.38
22.1578;4985.13;18.99;0.24
14.6792;4665.15;39;0.44
