Average wind speed (m/s);Average tip deflection out-of-plane (m);Average tip deflection in-plane (m);Input turbulence intensity (%);Input alpha
15.3588;2.69043;-0.382186;30.38;-0.08
18.6744;1.66753;-0.284304;24.58;0.32
16.8817;2.09531;-0.334521;32.55;0.35
11.4286;4.6232;-0.554466;10.51;-0.31
12.4441;3.49553;-0.458219;37.18;-0.36
23.6883;0.682059;-0.160062;13.91;0.1
6.31614;2.42706;-0.244023;26.34;-0.19
8.91223;3.91244;-0.415153;12.9;-0.04
13.0559;3.66492;-0.475307;18.64;0.38
3.97062;1.28436;-0.10838;27.53;0.39
14.4893;2.79887;-0.398838;33.83;0.39
25.6437;0.158471;-0.10803;42.27;-0.33
14.0776;3.01069;-0.421915;26.9;-0.37
3.44746;1.10013;-0.0864905;12.91;0.11
21.277;0.979619;-0.218428;35.58;-0.16
7.56114;2.98164;-0.310804;28.49;0.29
11.5141;3.91313;-0.471979;39.97;0.06
16.4107;2.3486;-0.357579;23.59;0
14.1391;3.20276;-0.4339;25.14;0.02
20.3679;1.25978;-0.241658;12.62;-0.26
23.9136;0.670239;-0.15612;6.94;-0.18
4.79886;1.74404;-0.162768;43.48;-0.19
14.6077;2.99366;-0.418976;16.2;0.12
20.0651;1.30499;-0.248717;19.9;-0.24
25.4493;0.106984;-0.124643;35.11;-0.49
8.82258;3.4752;-0.38286;35.32;0.18
11.1006;3.85218;-0.460089;35.02;0.01
20.7805;1.1891;-0.228796;30.18;-0.14
13.4983;3.27294;-0.444417;29.2;-0.31
11.9719;3.90158;-0.489492;33.03;-0.24
8.86468;3.73228;-0.396559;13.05;0.35
18.7005;1.60945;-0.284989;22.8;-0.29
5.30803;1.82626;-0.173502;41.23;0.45
9.67948;3.90226;-0.440947;35.7;-0.12
20.8424;0.982917;-0.218643;37.94;0.46
9.8771;4.56669;-0.511018;24.68;-0.33
3.41758;1.0868;-0.0867186;32.8;0.39
18.8779;1.32224;-0.249273;42.47;0.22
11.3179;5.15401;-0.589716;6.19;0.46
22.333;0.728243;-0.184801;38.82;0.44
21.9992;0.822914;-0.193196;43.49;0.2
18.0216;1.81139;-0.305504;38.49;-0.04
5.71263;2.02931;-0.192659;22.29;0.01
3.78289;1.29649;-0.108675;29.55;-0.26
18.563;1.69978;-0.282543;33.73;-0.04
12.5939;3.23429;-0.437862;34.54;-0.46
11.6314;3.54483;-0.452571;44.29;-0.44
22.7098;0.595119;-0.178135;9.34;-0.49
20.3423;1.07212;-0.230204;8.79;0.5
15.9797;2.47094;-0.368691;25.79;0.2
8.86535;3.94177;-0.433738;33.74;-0.38
17.3769;1.95333;-0.321006;10.34;0.33
6.312;2.45029;-0.248639;42.85;-0.28
6.16239;2.33337;-0.230584;11.6;-0.28
3.27841;1.04222;-0.082045;16.64;0.37
3.1178;1.00726;-0.0763504;19.48;0.02
18.1004;1.78041;-0.301944;32.72;0.06
4.09371;1.32839;-0.113008;16.73;0.48
7.76606;2.99244;-0.312877;10.01;0.43
20.7164;1.24138;-0.237006;28.94;0.12
13.2733;3.3378;-0.448864;27.91;-0.32
24.8712;0.285746;-0.129682;39.34;0.35
4.37101;1.56287;-0.138882;18.96;-0.43
9.98668;4.35278;-0.478717;23.61;0.15
3.68261;1.19217;-0.097797;35.07;0.4
10.3176;3.95938;-0.463738;34.39;-0.31
9.65406;3.65347;-0.419221;40.04;0.42
12.0313;3.5802;-0.448429;36.35;-0.25
17.8552;1.78378;-0.306642;21.38;0.38
6.84168;2.53409;-0.256709;16.98;0.28
11.1757;3.74392;-0.447264;39.97;-0.02
12.1739;4.20709;-0.510731;20.73;0.15
5.65021;1.94852;-0.182085;5.16;0.17
8.2635;3.45899;-0.365331;31.84;0
3.06688;1.00815;-0.079298;41.94;0.13
18.6662;1.66301;-0.286639;8.8;0.28
5.02325;1.69531;-0.154547;23.9;0.42
10.8775;4.2297;-0.490307;21.95;0.32
12.3859;4.12654;-0.516933;7.08;0.41
12.3952;3.75499;-0.485125;19.25;-0.42
12.5605;3.86973;-0.494805;19.7;0.47
6.36238;2.33869;-0.236881;43.81;0.14
13.3846;3.51097;-0.462642;14.59;-0.16
24.833;0.271635;-0.121543;10.42;0.45
15.1964;2.6611;-0.392343;14.05;0.38
7.15521;2.71924;-0.28149;27.18;0.39
9.56824;4.72662;-0.515049;10.06;-0.42
20.3877;1.05787;-0.229344;32.78;0.47
18.7084;1.47483;-0.283597;44.94;0.36
6.01189;2.11949;-0.203723;6.53;0.1
4.59672;1.5538;-0.134689;8.82;-0.09
9.64469;3.55109;-0.411639;44.4;0.42
18.8734;1.51045;-0.271028;37.77;-0.32
12.861;3.30597;-0.444576;30.86;-0.41
